Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,287.149994,288.850006,285.049988,286.049988,280.409576,504651
2020-02-11,286.450012,291.149994,283.700012,286.799988,281.144775,909262
2020-02-12,288.000000,291.350006,286.700012,290.700012,284.967896,518720
2020-02-13,288.000000,289.850006,284.350006,287.700012,282.027069,546460
2020-02-14,286.899994,289.950012,286.500000,288.399994,282.713226,424460
2020-02-17,289.200012,291.899994,288.149994,291.450012,285.703125,385470
2020-02-18,289.000000,290.899994,285.049988,285.450012,279.821411,514151
2020-02-19,286.700012,294.649994,276.000000,292.700012,286.928467,1131003
2020-02-20,292.500000,292.850006,285.000000,285.000000,279.380280,651691
2020-02-21,283.000000,286.850006,280.450012,282.450012,276.880585,713383
2020-02-24,273.899994,274.250000,263.399994,265.049988,259.823669,1418530
2020-02-25,269.299988,271.450012,262.399994,264.649994,259.431549,1341838
2020-02-26,262.049988,266.850006,254.500000,262.500000,257.323944,1475579
2020-02-27,256.500000,259.600006,252.449997,257.149994,252.079437,1365486
2020-02-28,246.500000,252.300003,243.500000,250.550003,245.609589,1916560
2020-03-02,253.050003,258.049988,244.050003,246.600006,241.737473,1352197
2020-03-03,249.850006,256.500000,248.250000,251.000000,246.050705,1357238
2020-03-04,250.800003,254.300003,248.050003,252.399994,247.423096,893698
2020-03-05,252.550003,254.399994,247.550003,249.100006,244.188187,843273
2020-03-06,243.000000,245.100006,237.699997,241.050003,236.296906,1150132
2020-03-09,213.000000,232.199997,209.899994,227.300003,222.818039,2387113
2020-03-10,229.949997,234.899994,220.399994,221.000000,216.642258,2082033
2020-03-11,212.000000,214.399994,195.179993,200.800003,196.840576,3716777
2020-03-12,186.500000,191.860001,165.860001,173.880005,170.451385,3869716
2020-03-13,178.000000,184.139999,168.360001,171.940002,168.549637,3718888
2020-03-16,164.220001,183.039993,162.199997,175.699997,172.235489,3543671
2020-03-17,180.880005,180.880005,163.619995,173.000000,169.588730,2263460
2020-03-18,167.979996,174.100006,165.460007,166.919998,163.628616,2139454
2020-03-19,168.160004,179.580002,164.559998,177.080002,173.588287,1816061
2020-03-20,186.619995,195.580002,185.380005,191.500000,187.723953,2781574
2020-03-23,182.759995,186.899994,178.619995,180.619995,177.058472,1813196
2020-03-24,190.220001,196.039993,186.820007,195.320007,191.468628,1834349
2020-03-25,204.899994,213.000000,198.660004,211.000000,206.839447,2194130
2020-03-26,206.000000,214.750000,203.100006,214.600006,210.368454,1292384
2020-03-27,210.399994,214.899994,206.300003,208.949997,204.829865,1265677
2020-03-30,209.149994,210.100006,199.300003,206.800003,202.722260,990692
2020-03-31,211.000000,216.100006,203.350006,205.899994,201.839996,1266450
2020-04-01,199.399994,202.800003,197.000000,199.850006,195.909302,1014076
2020-04-02,200.199997,202.000000,194.199997,197.750000,193.850708,879102
2020-04-03,195.699997,196.750000,188.000000,188.550003,184.832123,1103716
2020-04-06,195.500000,200.699997,193.350006,200.100006,196.154373,938539
2020-04-07,206.000000,213.699997,205.300003,207.899994,203.800568,1076100
2020-04-08,207.199997,216.699997,206.300003,216.000000,211.740845,1010055
2020-04-09,221.199997,226.000000,215.699997,224.300003,219.877197,1319853
2020-04-14,227.800003,229.000000,222.300003,224.899994,220.465347,750236
2020-04-15,222.000000,223.899994,213.600006,214.300003,210.074371,1038603
2020-04-16,214.500000,215.899994,209.600006,211.699997,207.525635,821745
2020-04-17,217.399994,223.500000,216.699997,218.699997,214.387604,1279772
2020-04-20,220.399994,222.800003,217.699997,221.600006,217.230438,617101
2020-04-21,217.800003,220.100006,211.100006,211.199997,207.035492,1011225
2020-04-22,211.600006,212.199997,205.100006,206.800003,202.722260,886899
2020-04-23,206.500000,210.699997,204.199997,208.399994,204.290695,930845
2020-04-24,203.600006,207.699997,202.199997,205.399994,201.349854,878116
2020-04-27,198.250000,216.399994,197.199997,206.800003,202.722260,1409663
2020-04-28,207.500000,210.199997,201.500000,205.399994,201.349854,963143
2020-04-29,204.100006,213.600006,199.699997,212.500000,208.309860,1214197
2020-04-30,214.699997,217.800003,208.000000,209.199997,205.074936,1247587
2020-05-04,203.000000,203.600006,193.100006,193.850006,190.027618,1494144
2020-05-05,196.899994,199.350006,193.899994,198.850006,194.929031,828679
2020-05-06,199.350006,200.399994,193.050003,200.000000,196.056335,1016561
2020-05-07,200.000000,210.500000,199.350006,209.100006,204.976913,1165279
2020-05-08,211.000000,212.800003,206.600006,207.899994,203.800568,531327
2020-05-11,209.899994,210.500000,203.899994,205.500000,201.447891,588505
2020-05-12,204.100006,207.600006,203.199997,204.300003,200.271561,586823
2020-05-13,201.199997,202.399994,196.250000,198.149994,194.242813,973475
2020-05-14,195.000000,197.149994,189.399994,195.250000,191.400009,918512
2020-05-15,196.649994,200.399994,196.199997,200.300003,200.300003,831199
2020-05-18,203.300003,217.000000,203.300003,214.899994,214.899994,1298436
2020-05-19,219.600006,221.399994,213.600006,218.100006,218.100006,1258762
2020-05-20,217.800003,220.800003,216.600006,220.199997,220.199997,791109
2020-05-21,218.000000,218.699997,214.600006,216.699997,216.699997,615341
2020-05-22,213.399994,218.500000,211.600006,217.800003,217.800003,648062
2020-05-25,220.300003,223.000000,218.399994,221.899994,221.899994,526030
2020-05-26,225.000000,230.699997,223.899994,228.899994,228.899994,941542
2020-05-27,233.800003,236.500000,228.300003,233.000000,233.000000,1174137
2020-05-28,236.399994,240.000000,232.500000,239.000000,239.000000,1042586
2020-05-29,236.600006,239.699997,234.800003,237.199997,237.199997,1803669
2020-06-02,241.300003,243.399994,239.000000,241.100006,241.100006,1136776
2020-06-03,245.000000,251.899994,242.699997,250.199997,250.199997,1256747
2020-06-04,255.000000,257.700012,250.199997,254.800003,254.800003,1355534
2020-06-05,258.500000,265.600006,256.700012,264.500000,264.500000,1477676
2020-06-08,261.899994,261.899994,256.100006,257.399994,257.399994,957226
2020-06-09,259.299988,260.000000,247.600006,251.300003,251.300003,1061554
2020-06-10,253.199997,255.500000,246.399994,248.199997,248.199997,788808
2020-06-11,242.100006,243.199997,234.300003,234.300003,234.300003,1101276
2020-06-12,230.100006,239.500000,228.800003,230.100006,230.100006,1400939
2020-06-15,224.100006,233.199997,222.500000,230.800003,230.800003,807432
2020-06-16,238.100006,243.300003,235.500000,240.500000,240.500000,1033918
2020-06-17,240.500000,242.800003,238.000000,241.399994,241.399994,575952
2020-06-18,240.300003,241.800003,237.399994,240.699997,240.699997,724390
2020-06-19,243.399994,245.300003,237.600006,237.600006,237.600006,1571117
2020-06-22,235.000000,237.600006,232.899994,235.800003,235.800003,495339
2020-06-23,238.899994,245.000000,238.199997,242.699997,242.699997,670771
2020-06-24,242.000000,242.399994,235.100006,235.699997,235.699997,647758
2020-06-25,234.800003,240.699997,232.000000,238.000000,238.000000,579942
2020-06-26,237.000000,239.199997,232.500000,233.000000,233.000000,697488
2020-06-29,231.899994,235.100006,228.800003,231.399994,231.399994,761998
2020-06-30,232.399994,235.399994,230.699997,233.600006,233.600006,627725
2020-07-01,229.899994,237.300003,229.199997,235.100006,235.100006,541284
2020-07-02,237.199997,246.000000,235.600006,244.600006,244.600006,878817
2020-07-03,245.000000,245.500000,240.699997,241.399994,241.399994,431536
2020-07-06,247.899994,249.100006,245.300003,247.899994,247.899994,557843
2020-07-07,245.600006,248.800003,240.699997,241.000000,241.000000,626165
2020-07-08,238.300003,239.199997,234.199997,236.500000,236.500000,633840
2020-07-09,237.300003,240.300003,234.500000,235.699997,235.699997,441217
2020-07-10,233.500000,235.800003,231.699997,235.600006,235.600006,507748
2020-07-13,239.600006,243.800003,237.600006,242.000000,242.000000,467938
2020-07-14,238.500000,239.600006,232.500000,234.800003,234.800003,572256
2020-07-15,236.899994,244.100006,236.399994,242.399994,242.399994,567626
2020-07-16,239.600006,240.899994,235.899994,238.500000,238.500000,570959
2020-07-17,240.000000,240.000000,235.800003,237.800003,237.800003,569342
2020-07-20,null,null,null,null,null,null
2020-07-21,245.899994,249.500000,245.000000,246.600006,246.600006,546399
2020-07-22,247.100006,249.100006,243.800003,245.000000,245.000000,365331
2020-07-23,246.199997,247.300003,242.899994,243.600006,243.600006,508799
2020-07-24,239.800003,240.399994,236.899994,239.100006,239.100006,401977
2020-07-27,238.800003,240.899994,234.500000,239.100006,239.100006,289135
2020-07-28,239.000000,241.100006,236.000000,238.899994,238.899994,326138
2020-07-29,238.500000,245.300003,236.399994,242.500000,242.500000,464178
2020-07-30,242.000000,242.800003,231.899994,234.199997,234.199997,682357
2020-07-31,233.899994,238.399994,231.199997,233.899994,233.899994,656479
2020-08-03,234.800003,239.800003,233.100006,238.500000,238.500000,445139
2020-08-04,239.800003,241.699997,233.800003,237.300003,237.300003,488071
2020-08-05,239.000000,242.199997,237.600006,239.800003,239.800003,508948
2020-08-06,243.000000,250.199997,241.500000,244.300003,244.300003,986147
2020-08-07,245.800003,249.000000,240.899994,247.300003,247.300003,319238
