Date,Open,High,Low,Close,Adj Close,Volume
1996-12-16,7.053060,7.078380,7.027800,7.032840,4.490023,105478
1996-12-17,6.989880,7.027800,6.951960,7.027800,4.486805,73007
1996-12-18,7.078380,7.078380,7.002530,7.015190,4.478754,56876
1996-12-19,7.027800,7.040460,6.977270,7.040460,4.494886,135571
1996-12-20,7.128910,7.166830,7.053060,7.053060,4.502932,138983
1996-12-23,7.027800,7.063200,6.951960,6.951960,4.438385,94000
1996-12-24,null,null,null,null,null,null
1996-12-25,null,null,null,null,null,null
1996-12-26,null,null,null,null,null,null
1996-12-27,6.951960,7.002530,6.926690,6.972180,4.451294,46845
1996-12-30,7.002530,7.053060,7.002530,7.027800,4.486805,49430
1996-12-31,null,null,null,null,null,null
1997-01-01,null,null,null,null,null,null
1997-01-02,6.951960,7.065720,6.951960,6.977270,4.454545,39399
1997-01-03,7.078380,7.394370,7.078380,7.394370,4.720837,309299
1997-01-06,7.457560,7.596600,7.457560,7.533400,4.809598,299786
1997-01-07,7.508140,7.609250,7.444900,7.520750,4.801521,217161
1997-01-08,7.508140,7.558670,7.503050,7.510660,4.795079,282309
1997-01-09,7.508140,7.508140,7.381710,7.447470,4.754737,300716
1997-01-10,7.457560,7.581410,7.391850,7.558670,4.825731,351801
1997-01-13,7.609250,7.862050,7.583990,7.824130,4.995210,243014
1997-01-14,7.836740,8.013740,7.786210,7.892360,5.038770,381376
1997-01-15,7.963170,7.965690,7.841830,7.841830,5.006511,111373
1997-01-16,7.836740,7.874660,7.773550,7.819090,4.991992,97619
1997-01-17,7.887320,7.950510,7.803910,7.899980,5.043636,214472
1997-01-20,7.988430,7.988430,7.841830,7.849400,5.011344,52843
1997-01-21,null,null,null,null,null,null
1997-01-22,7.736200,7.806430,7.659780,7.806430,4.983911,158838
1997-01-23,7.672440,7.748280,7.639490,7.672440,4.898366,78385
1997-01-24,7.508140,7.824130,7.508140,7.798870,4.979084,47982
1997-01-27,7.710370,7.862050,7.710370,7.786210,4.971002,116853
1997-01-28,7.786210,7.836740,7.786210,7.811470,4.987128,75903
1997-01-29,7.836740,7.836740,7.736200,7.736200,4.939073,36711
1997-01-30,7.824130,7.869620,7.824130,7.836740,5.003262,59771
1997-01-31,7.963170,8.051620,7.874660,7.874660,5.027471,100101
1997-02-03,7.937900,7.963170,7.937900,7.937900,5.067846,24922
1997-02-04,7.963170,8.064280,7.963170,8.026300,5.124283,106719
1997-02-05,8.076940,8.114850,8.064280,8.102200,5.172740,84279
1997-02-06,null,null,null,null,null,null
1997-02-07,8.001090,8.013740,8.001090,8.013740,5.116264,1034
1997-02-10,7.963170,8.054190,7.963170,8.051620,5.140449,86658
1997-02-11,8.064280,8.066800,8.041530,8.041530,5.134007,74352
1997-02-12,null,null,null,null,null,null
1997-02-13,7.950510,7.950510,7.836740,7.854440,5.014562,170109
1997-02-14,7.887320,7.937900,7.864580,7.899980,5.043636,106202
1997-02-17,7.899980,7.917680,7.874660,7.905020,5.046853,41261
1997-02-18,7.950510,8.039010,7.937900,7.937900,5.067846,75386
1997-02-19,null,null,null,null,null,null
1997-02-20,7.892360,7.963170,7.887320,7.932810,5.064597,119645
1997-02-21,7.917680,7.963170,7.892360,7.963170,5.083980,75386
1997-02-24,7.925240,8.001090,7.925240,7.950510,5.075895,94103
1997-02-25,8.001090,8.258930,8.001090,8.241230,5.261502,229260
