Date,Open,High,Low,Close,Adj Close,Volume
2019-08-12,6.758000,6.764000,6.290000,6.295000,6.295000,18351945
2019-08-13,6.210000,6.452000,6.088000,6.377000,6.377000,23583422
2019-08-14,6.364000,6.364000,6.038000,6.045000,6.045000,22810474
2019-08-15,6.080000,6.083000,5.808000,5.883000,5.883000,25283013
2019-08-16,5.877000,6.167000,5.777000,6.160000,6.160000,37480692
2019-08-19,6.342000,6.428000,6.281000,6.326000,6.326000,17030594
2019-08-20,6.386000,6.386000,6.230000,6.297000,6.297000,12209534
2019-08-21,6.310000,6.431000,6.294000,6.348000,6.348000,9919672
2019-08-22,6.290000,6.526000,6.262000,6.471000,6.471000,12410051
2019-08-23,6.510000,6.550000,6.359000,6.359000,6.359000,15616616
2019-08-26,6.320000,6.403000,6.307000,6.333000,6.333000,8128236
2019-08-27,6.330000,6.482000,6.290000,6.425000,6.425000,11230250
2019-08-28,6.468000,6.468000,6.338000,6.462000,6.462000,9988424
2019-08-29,6.445000,6.599000,6.402000,6.552000,6.552000,12345956
2019-08-30,6.600000,6.626000,6.551000,6.572000,6.572000,11324440
2019-09-02,6.563000,6.679000,6.530000,6.648000,6.648000,6738241
2019-09-03,6.645000,6.684000,6.553000,6.624000,6.624000,10587651
2019-09-04,6.700000,6.807000,6.685000,6.742000,6.742000,10204078
2019-09-05,6.850000,7.088000,6.768000,7.088000,7.088000,17818740
2019-09-06,7.050000,7.155000,6.948000,7.114000,7.114000,16099904
2019-09-09,7.160000,7.336000,7.160000,7.328000,7.328000,16359477
2019-09-10,7.292000,7.505000,7.280000,7.450000,7.450000,23202329
2019-09-11,7.500000,7.599000,7.285000,7.489000,7.489000,21029761
2019-09-12,7.525000,7.746000,7.143000,7.418000,7.418000,30437818
2019-09-13,7.446000,7.694000,7.440000,7.655000,7.655000,20009074
2019-09-16,7.530000,7.566000,7.392000,7.496000,7.496000,15634153
2019-09-17,7.459000,7.471000,7.254000,7.311000,7.311000,14461215
2019-09-18,7.350000,7.350000,7.215000,7.215000,7.215000,10555735
2019-09-19,7.261000,7.410000,7.228000,7.363000,7.363000,12367512
2019-09-20,7.340000,7.426000,7.282000,7.307000,7.307000,19722113
2019-09-23,7.270000,7.288000,7.000000,7.051000,7.051000,17289859
2019-09-24,7.075000,7.134000,6.910000,6.910000,6.910000,10409707
2019-09-25,6.880000,6.954000,6.696000,6.943000,6.943000,16576802
2019-09-26,6.960000,6.960000,6.794000,6.801000,6.801000,15692617
2019-09-27,6.800000,6.955000,6.772000,6.929000,6.929000,10845159
2019-09-30,6.937000,6.987000,6.830000,6.871000,6.871000,10186386
2019-10-01,6.909000,6.965000,6.635000,6.677000,6.677000,13433773
2019-10-02,6.650000,6.720000,6.560000,6.566000,6.566000,15527318
2019-10-04,6.520000,6.531000,6.369000,6.480000,6.480000,16042648
2019-10-07,6.489000,6.489000,6.348000,6.481000,6.481000,11130966
2019-10-08,6.515000,6.529000,6.205000,6.304000,6.304000,13736758
2019-10-09,6.300000,6.375000,6.256000,6.294000,6.294000,8625379
2019-10-10,6.301000,6.471000,6.262000,6.464000,6.464000,15846271
2019-10-11,6.540000,6.797000,6.503000,6.797000,6.797000,17529641
2019-10-14,6.770000,6.882000,6.681000,6.852000,6.852000,11414510
2019-10-15,6.900000,7.077000,6.818000,7.049000,7.049000,14775429
2019-10-16,7.021000,7.199000,6.918000,7.119000,7.119000,18156316
2019-10-17,7.082000,7.242000,7.053000,7.137000,7.137000,18042882
2019-10-18,7.129000,7.232000,7.052000,7.092000,7.092000,14529041
2019-10-21,7.098000,7.323000,7.092000,7.301000,7.301000,16365781
2019-10-22,7.315000,7.373000,7.162000,7.189000,7.189000,13745013
2019-10-23,7.100000,7.195000,7.055000,7.187000,7.187000,9997871
2019-10-24,7.202000,7.254000,7.060000,7.061000,7.061000,12475377
2019-10-25,7.066000,7.183000,7.066000,7.178000,7.178000,7797477
2019-10-28,7.182000,7.272000,7.162000,7.230000,7.230000,10890728
2019-10-29,7.249000,7.291000,7.136000,7.215000,7.215000,9047392
2019-10-30,7.146000,7.154000,6.579000,6.643000,6.643000,38794739
2019-10-31,6.620000,6.643000,6.453000,6.494000,6.494000,19444744
2019-11-01,6.533000,6.632000,6.442000,6.595000,6.595000,12403003
2019-11-04,6.689000,6.868000,6.660000,6.840000,6.840000,15889144
2019-11-05,6.892000,6.987000,6.850000,6.935000,6.935000,14627629
2019-11-06,6.900000,7.138000,6.880000,6.931000,6.931000,17912925
2019-11-07,7.000000,7.097000,6.920000,7.057000,7.057000,15630663
2019-11-08,7.026000,7.029000,6.871000,6.901000,6.901000,14900653
2019-11-11,6.890000,6.906000,6.749000,6.867000,6.867000,11127270
2019-11-12,6.887000,7.028000,6.887000,6.959000,6.959000,10925117
2019-11-13,6.920000,6.928000,6.650000,6.650000,6.650000,18503154
2019-11-14,6.650000,6.657000,6.508000,6.553000,6.553000,12094620
2019-11-15,6.600000,6.650000,6.515000,6.575000,6.575000,11907248
2019-11-18,6.560000,6.701000,6.540000,6.618000,6.618000,9742418
2019-11-19,6.673000,6.752000,6.566000,6.588000,6.588000,9738605
2019-11-20,6.512000,6.610000,6.426000,6.599000,6.599000,10491393
2019-11-21,6.520000,6.663000,6.484000,6.635000,6.635000,9057601
2019-11-22,6.674000,6.808000,6.600000,6.683000,6.683000,13020623
2019-11-25,6.750000,6.820000,6.652000,6.673000,6.673000,8858720
2019-11-26,6.674000,6.737000,6.598000,6.598000,6.598000,9325159
2019-11-27,6.613000,6.725000,6.565000,6.673000,6.673000,11289725
2019-11-28,6.667000,6.667000,6.585000,6.619000,6.619000,5205458
2019-11-29,6.590000,6.613000,6.540000,6.544000,6.544000,8129735
2019-12-02,6.565000,6.627000,6.463000,6.466000,6.466000,16626381
