Date,Open,High,Low,Close,Adj Close,Volume
2019-08-13,51.820000,53.900002,50.980000,52.939999,52.939999,374798
2019-08-14,53.200001,53.480000,51.419998,51.680000,51.680000,433194
2019-08-15,51.820000,51.820000,49.139999,49.660000,49.660000,550557
2019-08-16,50.020000,50.480000,49.090000,50.480000,50.480000,406778
2019-08-19,50.980000,51.860001,50.980000,51.700001,51.700001,300299
2019-08-20,52.200001,52.520000,50.980000,50.980000,50.980000,221477
2019-08-21,51.119999,52.799999,51.119999,52.480000,52.480000,179578
2019-08-22,52.419998,53.580002,51.980000,52.500000,52.500000,203756
2019-08-23,53.020000,53.360001,51.619999,51.619999,51.619999,171049
2019-08-26,50.900002,51.060001,50.200001,50.700001,50.700001,300537
2019-08-27,50.500000,52.160000,49.779999,51.779999,51.779999,363344
2019-08-28,51.779999,52.500000,50.639999,52.259998,52.259998,288154
2019-08-29,51.900002,53.919998,51.860001,53.799999,53.799999,237206
2019-08-30,53.860001,55.400002,53.860001,54.700001,54.700001,274418
2019-09-02,54.560001,55.240002,53.919998,53.980000,53.980000,160779
2019-09-03,53.820000,53.820000,52.740002,53.200001,53.200001,238545
2019-09-04,54.180000,55.419998,54.000000,54.720001,54.720001,300802
2019-09-05,54.639999,55.599998,54.639999,55.220001,55.220001,233554
2019-09-06,55.500000,57.180000,55.360001,56.740002,56.740002,424107
2019-09-09,56.919998,57.840000,56.779999,57.680000,57.680000,235451
2019-09-10,56.599998,58.700001,56.599998,58.680000,58.680000,437238
2019-09-11,58.860001,59.580002,58.200001,58.259998,58.259998,375697
2019-09-12,58.459999,58.939999,57.380001,57.599998,57.599998,409060
2019-09-13,57.540001,58.200001,57.459999,58.000000,58.000000,277540
2019-09-16,57.360001,58.080002,56.860001,57.299999,57.299999,334259
2019-09-17,57.119999,57.220001,55.360001,56.279999,56.279999,283290
2019-09-18,57.040001,57.040001,55.459999,55.459999,55.459999,333766
2019-09-19,55.580002,56.040001,55.040001,55.740002,55.740002,252156
2019-09-20,55.400002,55.419998,54.560001,54.660000,54.660000,687582
2019-09-23,54.619999,54.720001,52.939999,54.000000,54.000000,291788
2019-09-24,54.080002,54.520000,52.860001,53.000000,53.000000,266649
2019-09-25,52.299999,52.840000,51.759998,52.660000,52.660000,269090
2019-09-26,52.660000,53.919998,52.400002,53.299999,53.299999,329373
2019-09-27,53.639999,55.380001,53.540001,55.259998,55.259998,364251
2019-09-30,54.900002,56.000000,54.759998,56.000000,56.000000,315090
2019-10-01,56.000000,56.900002,55.439999,55.820000,55.820000,353419
2019-10-02,55.560001,55.560001,53.880001,54.299999,54.299999,410337
2019-10-04,54.660000,54.840000,52.799999,54.000000,54.000000,428906
2019-10-07,54.080002,55.759998,53.220001,55.540001,55.540001,316040
2019-10-08,54.500000,55.200001,54.099998,55.000000,55.000000,473808
2019-10-09,54.639999,56.139999,54.299999,55.320000,55.320000,301028
2019-10-10,55.540001,56.759998,55.400002,56.380001,56.380001,314225
2019-10-11,56.520000,58.200001,56.419998,58.040001,58.040001,217270
2019-10-14,57.980000,58.639999,57.180000,58.139999,58.139999,176078
2019-10-15,58.680000,59.599998,58.220001,59.180000,59.180000,214966
2019-10-16,59.160000,59.900002,58.560001,59.799999,59.799999,243065
2019-10-17,59.500000,60.540001,58.759998,59.259998,59.259998,413108
2019-10-18,58.900002,59.880001,58.779999,59.279999,59.279999,282790
2019-10-21,59.000000,60.840000,59.000000,60.619999,60.619999,278152
2019-10-22,59.820000,60.419998,59.040001,59.299999,59.299999,325443
2019-10-23,58.700001,59.900002,58.480000,59.520000,59.520000,251716
2019-10-24,60.000000,60.759998,59.279999,60.520000,60.520000,215783
2019-10-25,60.520000,61.480000,60.500000,61.480000,61.480000,230851
2019-10-28,61.720001,62.360001,60.799999,60.799999,60.799999,268176
2019-10-29,60.560001,60.560001,59.500000,60.299999,60.299999,306398
2019-10-30,59.560001,60.400002,58.380001,58.619999,58.619999,297826
