Date,Open,High,Low,Close,Adj Close,Volume
2019-08-09,94.860001,95.760002,94.300003,94.860001,92.528847,484060
2019-08-12,95.500000,95.900002,94.320000,94.500000,92.177696,273152
2019-08-13,94.400002,95.540001,94.199997,95.120003,92.782463,361743
2019-08-14,95.000000,95.180000,93.160004,93.339996,91.046196,522881
2019-08-15,93.160004,93.459999,91.379997,92.720001,90.441437,484357
2019-08-16,93.120003,94.480003,92.860001,94.320000,92.002113,401730
2019-08-19,94.480003,96.199997,93.739998,95.919998,93.562790,411022
2019-08-20,96.000000,96.639999,95.400002,95.419998,93.075089,304629
2019-08-21,95.400002,96.220001,95.160004,96.199997,93.835915,282333
2019-08-22,95.739998,96.220001,94.940002,95.220001,92.880005,267380
2019-08-23,95.320000,96.000000,94.680000,94.900002,92.567871,305353
2019-08-26,94.900002,95.540001,94.160004,94.980003,92.645897,256849
2019-08-27,94.680000,95.739998,94.000000,95.739998,93.387222,350197
2019-08-28,95.500000,95.980003,94.699997,95.199997,92.860489,309319
2019-08-29,94.940002,96.279999,94.900002,96.000000,93.640831,346531
2019-08-30,95.480003,97.379997,95.419998,97.260002,94.869865,399679
2019-09-02,96.959999,98.820000,96.940002,97.860001,95.455124,285482
2019-09-03,97.820000,98.360001,97.440002,97.839996,95.435616,428284
2019-09-04,98.400002,98.680000,97.519997,97.980003,95.572174,276098
2019-09-05,98.419998,98.599998,96.940002,97.279999,94.889374,304150
2019-09-06,97.459999,99.019997,97.279999,98.000000,95.591682,582089
2019-09-09,98.279999,98.279999,95.739998,95.839996,93.484764,315618
2019-09-10,95.820000,95.820000,92.879997,93.760002,91.455879,641693
2019-09-11,94.900002,95.360001,94.400002,95.080002,92.743439,513926
2019-09-12,95.080002,98.639999,94.620003,97.360001,94.967407,707195
2019-09-13,98.480003,99.680000,98.379997,99.019997,96.586617,739433
2019-09-16,98.860001,99.720001,98.040001,99.500000,97.054817,483375
2019-09-17,99.739998,100.550003,98.620003,98.620003,96.196449,480705
2019-09-18,98.699997,99.139999,97.480003,99.120003,96.684166,369374
2019-09-19,99.279999,103.150002,99.260002,102.349998,99.834785,794098
2019-09-20,102.400002,105.550003,101.150002,105.550003,102.956146,1635203
2019-09-23,105.000000,105.849998,104.349998,104.349998,101.785637,504227
2019-09-24,104.500000,104.900002,103.199997,103.699997,101.151604,400458
2019-09-25,103.050003,103.449997,102.099998,102.349998,99.834785,487133
2019-09-26,102.000000,102.949997,101.750000,102.599998,100.078636,630856
2019-09-27,102.699997,103.800003,102.500000,103.650002,101.102837,439689
