Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,277.299988,278.000000,276.700012,277.500000,265.177856,264775
2020-02-11,278.399994,278.600006,276.700012,277.399994,265.082275,325462
2020-02-12,278.100006,279.200012,277.299988,278.600006,266.229004,303334
2020-02-13,277.299988,281.200012,277.299988,281.200012,268.713562,420588
2020-02-14,281.200012,283.100006,281.200012,282.299988,269.764709,278490
2020-02-17,283.799988,284.200012,281.500000,282.600006,270.051392,226305
2020-02-18,281.299988,282.500000,280.500000,281.299988,268.809113,285483
2020-02-19,281.600006,282.000000,280.399994,281.299988,268.809113,330689
2020-02-20,280.899994,281.100006,274.500000,274.500000,262.311066,543049
2020-02-21,273.899994,275.899994,272.899994,274.200012,262.024384,604841
2020-02-24,266.899994,268.700012,261.500000,263.200012,251.512833,875455
2020-02-25,264.799988,266.100006,255.199997,255.399994,244.059174,902999
2020-02-26,253.300003,255.500000,247.100006,254.800003,243.485825,1236469
2020-02-27,251.000000,252.699997,243.500000,244.600006,233.738754,1232276
2020-02-28,226.000000,238.600006,222.199997,230.699997,220.455963,2030609
2020-03-02,231.000000,237.800003,228.199997,234.199997,223.800552,1355459
2020-03-03,239.000000,244.699997,236.899994,237.300003,226.762894,1396244
2020-03-04,240.000000,245.399994,238.199997,243.300003,232.496475,998784
2020-03-05,246.600006,247.000000,239.600006,243.800003,232.974274,936182
2020-03-06,238.699997,242.899994,233.699997,235.300003,224.851700,991577
2020-03-09,220.000000,226.000000,216.899994,217.300003,207.650986,2011230
2020-03-10,219.699997,226.500000,210.000000,211.800003,202.395203,1638827
2020-03-11,213.600006,215.500000,206.800003,207.699997,198.477249,1179591
2020-03-12,194.350006,196.750000,170.300003,170.850006,163.263550,2687562
2020-03-13,175.800003,185.000000,167.300003,171.300003,163.693573,2375010
2020-03-16,162.000000,168.000000,150.100006,160.149994,153.038666,2240806
2020-03-17,167.100006,169.149994,149.100006,156.100006,149.168518,1880578
2020-03-18,151.100006,154.300003,145.750000,145.750000,139.278091,1681491
2020-03-19,145.949997,163.949997,141.100006,162.449997,155.236542,1964948
2020-03-20,171.000000,178.649994,155.500000,156.750000,149.789642,2344528
2020-03-23,150.000000,161.850006,148.399994,154.399994,147.543991,1615811
2020-03-24,164.199997,189.000000,161.899994,185.550003,177.310806,1854594
2020-03-25,194.000000,196.000000,176.000000,186.399994,178.123062,1316655
2020-03-26,181.100006,186.800003,175.649994,186.800003,178.505310,1161863
2020-03-27,181.949997,183.149994,175.350006,182.500000,174.396240,1090311
2020-03-30,184.000000,185.149994,173.899994,181.399994,173.345078,867606
2020-03-31,184.000000,189.949997,180.600006,184.100006,175.925201,998191
2020-04-01,177.000000,181.949997,172.250000,175.149994,167.372604,994461
2020-04-02,176.050003,179.050003,172.500000,176.800003,168.949356,779139
2020-04-03,174.399994,174.899994,170.300003,171.000000,163.406891,939591
2020-04-06,178.550003,181.899994,177.100006,181.800003,173.727325,720453
2020-04-07,190.250000,194.449997,183.850006,188.000000,179.652023,842471
2020-04-08,187.100006,188.250000,182.850006,186.800003,178.505310,574965
2020-04-09,189.500000,193.850006,186.949997,192.350006,183.808868,909620
2020-04-14,196.500000,197.399994,192.149994,193.000000,184.429993,577115
2020-04-15,193.300003,193.750000,189.949997,191.399994,182.901047,1018317
2020-04-16,192.750000,194.399994,187.550003,188.600006,180.225388,1077991
2020-04-17,194.100006,196.449997,192.699997,195.449997,186.771210,935686
