Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,10.885000,11.140000,10.835000,10.995000,10.995000,2263304
2020-02-11,11.085000,11.190000,10.995000,11.125000,11.125000,2219265
2020-02-12,11.130000,11.350000,11.120000,11.130000,11.130000,2608641
2020-02-13,11.000000,11.530000,10.945000,11.155000,11.155000,3775576
2020-02-14,11.200000,11.445000,11.170000,11.190000,11.190000,2663226
2020-02-17,11.205000,11.355000,10.780000,10.850000,10.850000,4390721
2020-02-18,10.720000,10.780000,9.966000,10.250000,10.250000,9378913
2020-02-19,10.275000,10.390000,10.010000,10.040000,10.040000,4454755
2020-02-20,10.050000,10.185000,9.804000,9.806000,9.806000,7079842
2020-02-21,9.800000,9.966000,9.610000,9.842000,9.842000,5323554
2020-02-24,9.650000,9.652000,9.312000,9.566000,9.566000,4444275
2020-02-25,9.700000,9.714000,9.244000,9.272000,9.272000,4980034
2020-02-26,9.152000,9.362000,8.908000,9.250000,9.250000,5122490
2020-02-27,9.062000,9.294000,9.016000,9.164000,9.164000,5262327
2020-02-28,9.398000,9.528000,8.502000,8.702000,8.702000,12557491
2020-03-02,9.050000,9.222000,8.470000,8.522000,8.522000,8239829
2020-03-03,8.638000,8.684000,8.132000,8.150000,8.150000,8270472
2020-03-04,8.224000,8.282000,7.778000,7.856000,7.856000,7401856
2020-03-05,7.928000,7.982000,7.104000,7.260000,7.260000,9664720
2020-03-06,7.076000,7.142000,6.732000,6.944000,6.944000,7998881
2020-03-09,6.480000,6.480000,5.972000,5.972000,5.972000,8725725
2020-03-10,6.058000,6.510000,5.944000,6.044000,6.044000,7799436
2020-03-11,6.158000,6.328000,5.778000,5.854000,5.854000,6570116
2020-03-12,5.436000,5.542000,4.769000,4.785000,4.785000,7827860
2020-03-13,4.972000,5.244000,4.562000,4.673000,4.673000,9379682
2020-03-16,4.370000,4.404000,3.921000,4.104000,4.104000,8738013
2020-03-17,4.333000,4.370000,3.665000,3.739000,3.739000,7491844
2020-03-18,3.597000,3.653000,3.280000,3.608000,3.608000,7845068
2020-03-19,3.681000,3.795000,3.409000,3.550000,3.550000,6308757
2020-03-20,3.789000,3.980000,3.617000,3.806000,3.806000,7995556
2020-03-23,3.658000,3.954000,3.600000,3.900000,3.900000,5409284
2020-03-24,4.110000,4.931000,4.092000,4.931000,4.931000,8948303
2020-03-25,5.482000,6.122000,4.904000,5.126000,5.126000,11787872
2020-03-26,5.028000,5.300000,4.920000,5.082000,5.082000,5017047
2020-03-27,4.968000,5.024000,4.600000,4.653000,4.653000,4339384
2020-03-30,4.685000,4.740000,4.419000,4.635000,4.635000,2578894
2020-03-31,4.760000,4.813000,4.594000,4.768000,4.768000,3161137
2020-04-01,4.570000,4.652000,4.453000,4.588000,4.588000,2775995
2020-04-02,4.620000,4.720000,4.419000,4.599000,4.599000,3685509
2020-04-03,4.600000,4.604000,4.233000,4.275000,4.275000,4446284
2020-04-06,4.540000,4.969000,4.476000,4.910000,4.910000,4880677
2020-04-07,5.214000,5.596000,5.210000,5.444000,5.444000,5657145
2020-04-08,5.450000,5.532000,5.274000,5.470000,5.470000,2617874
2020-04-09,5.720000,5.964000,5.576000,5.800000,5.800000,5666227
2020-04-14,6.016000,6.250000,5.940000,6.090000,6.090000,3284496
2020-04-15,6.146000,6.146000,5.282000,5.332000,5.332000,6949083
2020-04-16,5.486000,5.574000,5.282000,5.392000,5.392000,3583283
2020-04-17,5.680000,5.980000,5.636000,5.890000,5.890000,4674561
2020-04-20,5.994000,6.096000,5.642000,5.750000,5.750000,3553631
2020-04-21,5.550000,5.612000,5.422000,5.440000,5.440000,3132876
2020-04-22,5.610000,5.620000,5.350000,5.570000,5.570000,2628766
2020-04-23,5.610000,5.724000,5.422000,5.670000,5.670000,3249400
2020-04-24,5.520000,5.674000,5.394000,5.432000,5.432000,2532999
2020-04-27,5.644000,5.900000,5.602000,5.800000,5.800000,3634707
2020-04-28,5.810000,5.942000,5.724000,5.806000,5.806000,3982846
2020-04-29,5.846000,6.272000,5.822000,6.250000,6.250000,5950384
2020-04-30,6.324000,6.468000,5.992000,6.080000,6.080000,5375166
2020-05-04,5.720000,5.724000,5.038000,5.210000,5.210000,8283410
2020-05-05,5.350000,5.490000,5.244000,5.390000,5.390000,3365372
2020-05-06,5.434000,5.506000,5.238000,5.244000,5.244000,2617504
2020-05-07,5.274000,5.424000,5.194000,5.350000,5.350000,2723592
2020-05-08,5.430000,5.490000,5.250000,5.280000,5.280000,2962740
2020-05-11,5.358000,5.430000,4.829000,4.853000,4.853000,5435869
2020-05-12,4.600000,4.635000,3.996000,4.110000,4.110000,19323821
2020-05-13,4.145000,4.287000,4.034000,4.151000,4.151000,8714546
2020-05-14,4.043000,4.339000,3.955000,4.257000,4.257000,8334143
2020-05-15,4.343000,4.450000,4.122000,4.401000,4.401000,5851411
2020-05-18,4.574000,4.970000,4.537000,4.950000,4.950000,7686531
2020-05-19,5.150000,5.328000,4.886000,5.202000,5.202000,9283792
2020-05-20,5.156000,5.298000,4.885000,5.280000,5.280000,5174528
2020-05-21,5.190000,5.488000,5.140000,5.354000,5.354000,3487615
2020-05-22,5.190000,5.514000,5.164000,5.338000,5.338000,4408974
2020-05-25,5.478000,5.602000,5.378000,5.602000,5.602000,2466565
2020-05-26,5.670000,6.084000,5.640000,5.990000,5.990000,6679537
2020-05-27,6.056000,6.092000,5.766000,5.994000,5.994000,7896002
